Code,Points,Elo,Group,Flag Code
Egypt,6,1686,A,
Burkina_Faso,4,1565,A,
Guinea-Bissau,4,1416,A,
Sierra_Leone,1,1315,A,
Ethiopia,1,1303,A,
Djibouti,0,914,A,
Senegal,4,1731,B,
Sudan,4,1316,B,
Democratic_Republic_of_Congo,3,1500,B,
Togo,2,1391,B,
Mauritania,1,1392,B,
South_Sudan,1,1147,B,
Rwanda,4,1308,C,
South_Africa,3,1490,C,
Nigeria,2,1591,C,
Lesotho,2,1244,C,
Zimbabwe,2,1337,C,
Benin,1,1348,C,
Cameroon,4,1619,D,
Cape_Verde,4,1482,D,
Libya,4,1360,D,
Angola,2,1386,D,
Mauritius,1,1044,D,
Eswatini,0,1258,D,
Morocco,3,1847,E,
Zambia,3,1490,E,
Niger,3,1241,E,
Tanzania,3,1349,E,
Congo,0,1271,E,
Eritrea,0,1144,E,
Ivory_Coast,6,1644,F,
Gabon,6,1442,F,
Kenya,3,1350,F,
Burundi,3,1291,F,
Gambia,0,1399,F,
Seychelles,0,855,F,
Algeria,6,1726,G,
Botswana,3,1347,G,
Guinea,3,1427,G,
Uganda,3,1368,G,
Mozambique,3,1357,G,
Somalia,0,898,G,
Tunisia,6,1740,H,
Equatorial_Guinea,6,1517,H,
Namibia,3,1381,H,
Malawi,3,1350,H,
Liberia,0,1261,H,
Sao_Tome_and_Principe,0,1057,H,
Comoros,6,1275,I,
Mali,4,1616,I,
Madagascar,3,1316,I,
Ghana,3,1551,I,
Central_African_Republic,1,1306,I,
Chad,0,1159,I,
,,,R2,
,,,R2,
,,,R2,
,,,R2,
