Code,Points,Elo,Group,Flag Code
Egypt,0,1678,A,
Burkina_Faso,0,1526,A,
Guinea-Bissau,0,1406,A,
Sierra_Leone,0,1322,A,
Ethiopia,0,1317,A,
Djibouti,0,917,A,
Senegal,0,1743,B,
Sudan,0,1278,B,
Democratic_Republic_of_Congo,0,1517,B,
Togo,0,1384,B,
Mauritania,0,1420,B,
South_Sudan,0,1135,B,
Rwanda,0,1268,C,
South_Africa,0,1526,C,
Nigeria,0,1622,C,
Lesotho,0,1220,C,
Zimbabwe,0,1321,C,
Benin,0,1361,C,
Cameroon,0,1627,D,
Cape_Verde,0,1477,D,
Libya,0,1334,D,
Angola,0,1389,D,
Mauritius,0,1032,D,
Eswatini,0,1290,D,
Morocco,0,1841,E,
Zambia,0,1518,E,
Niger,0,1219,E,
Tanzania,0,1342,E,
Congo,0,1278,E,
Eritrea,0,1144,E,
Ivory_Coast,0,1630,F,
Gabon,0,1418,F,
Kenya,0,1356,F,
Burundi,0,1275,F,
Gambia,0,1441,F,
Seychelles,0,861,F,
Algeria,0,1714,G,
Botswana,0,1352,G,
Guinea,0,1431,G,
Uganda,0,1382,G,
Mozambique,0,1343,G,
Somalia,0,901,G,
Tunisia,0,1732,H,
Equatorial_Guinea,0,1495,H,
Namibia,0,1381,H,
Malawi,0,1333,H,
Liberia,0,1298,H,
Sao_Tome_and_Principe,0,1067,H,
Comoros,0,1212,I,
Mali,0,1631,I,
Madagascar,0,1296,I,
Ghana,0,1579,I,
Central_African_Republic,0,1320,I,
Chad,0,1185,I,
,,,R2,
,,,R2,
,,,R2,
,,,R2,
