Match Num,Home,Away,Group,Winner
1,Ethiopia,Sierra_Leone,A,
2,Egypt,Djibouti,A,
3,Burkina_Faso,Guinea-Bissau,A,
4,Sierra_Leone,Egypt,A,
5,Djibouti,Guinea-Bissau,A,
6,Ethiopia,Burkina_Faso,A,
7,Democratic_Republic_of_Congo,Mauritania,B,
8,Sudan,Togo,B,
9,Senegal,South_Sudan,B,
10,Sudan,Democratic_Republic_of_Congo,B,
11,South_Sudan,Mauritania,B,
12,Togo,Senegal,B,
13,Rwanda,Zimbabwe,C,
14,Nigeria,Lesotho,C,
15,South_Africa,Benin,C,
16,Zimbabwe,Nigeria,C,
17,Lesotho,Benin,C,
18,Rwanda,South_Africa,C,
19,Cape_Verde,Angola,D,
20,Eswatini,Libya,D,
21,Cameroon,Mauritius,D,
22,Eswatini,Cape_Verde,D,
23,Libya,Cameroon,D,
24,Mauritius,Angola,D,
25,Zambia,Congo,E,
26,Niger,Tanzania,E,
27,Niger,Zambia,E,
28,Tanzania,Morocco,E,
29,Burundi,Gambia,F,
30,Gabon,Kenya,F,
31,Ivory_Coast,Seychelles,F,
32,Burundi,Gabon,F,
33,Gambia,Ivory_Coast,F,
34,Seychelles,Kenya,F,
35,Botswana,Mozambique,G,
36,Algeria,Somalia,G,
37,Guinea,Uganda,G,
38,Mozambique,Algeria,G,
39,Botswana,Guinea,G,
40,Somalia,Uganda,G,
41,Equatorial_Guinea,Namibia,H,
42,Liberia,Malawi,H,
43,Tunisia,Sao_Tome_and_Principe,H,
44,Liberia,Equatorial_Guinea,H,
45,Malawi,Tunisia,H,
46,Sao_Tome_and_Principe,Namibia,H,
47,Comoros,Central_African_Republic,I,
48,Ghana,Madagascar,I,
49,Mali,Chad,I,
50,Chad,Madagascar,I,
51,Mali,Central_African_Republic,I,
52,Comoros,Ghana,I,
53,Sierra_Leone,Djibouti,A,
54,Guinea-Bissau,Ethiopia,A,
55,Egypt,Burkina_Faso,A,
56,Burkina_Faso,Sierra_Leone,A,
57,Guinea-Bissau,Egypt,A,
58,Djibouti,Ethiopia,A,
59,Togo,South_Sudan,B,
60,Mauritania,Sudan,B,
61,Senegal,Democratic_Republic_of_Congo,B,
62,Democratic_Republic_of_Congo,Togo,B,
63,Mauritania,Senegal,B,
64,South_Sudan,Sudan,B,
65,Zimbabwe,Lesotho,C,
66,Benin,Rwanda,C,
67,Nigeria,South_Africa,C,
68,South_Africa,Zimbabwe,C,
69,Benin,Nigeria,C,
70,Lesotho,Rwanda,C,
71,Libya,Mauritius,D,
72,Angola,Eswatini,D,
73,Cameroon,Cape_Verde,D,
74,Cape_Verde,Libya,D,
75,Angola,Cameroon,D,
76,Mauritius,Eswatini,D,
77,Congo,Niger,E,
78,Morocco,Zambia,E,
79,Zambia,Tanzania,E,
80,Congo,Morocco,E,
81,Gambia,Seychelles,F,
82,Kenya,Burundi,F,
83,Ivory_Coast,Gabon,F,
84,Gabon,Gambia,F,
85,Kenya,Ivory_Coast,F,
86,Seychelles,Burundi,F,
87,Mozambique,Somalia,G,
88,Uganda,Botswana,G,
89,Algeria,Guinea,G,
90,Guinea,Mozambique,G,
91,Uganda,Algeria,G,
92,Somalia,Botswana,G,
93,Malawi,Sao_Tome_and_Principe,H,
94,Namibia,Liberia,H,
95,Tunisia,Equatorial_Guinea,H,
96,Equatorial_Guinea,Malawi,H,
97,Namibia,Tunisia,H,
98,Sao_Tome_and_Principe,Liberia,H,
99,Central_African_Republic,Chad,I,
100,Madagascar,Comoros,I,
101,Mali,Ghana,I,
102,Ghana,Central_African_Republic,I,
103,Madagascar,Mali,I,
104,Chad,Comoros,I,
105,Burkina_Faso,Djibouti,A,
106,Sierra_Leone,Guinea-Bissau,A,
107,Ethiopia,Egypt,A,
108,Guinea-Bissau,Burkina_Faso,A,
109,Egypt,Sierra_Leone,A,
110,Ethiopia,Djibouti,A,
111,Democratic_Republic_of_Congo,South_Sudan,B,
112,Togo,Mauritania,B,
113,Sudan,Senegal,B,
114,Mauritania,Democratic_Republic_of_Congo,B,
115,Senegal,Togo,B,
116,Sudan,South_Sudan,B,
117,South_Africa,Lesotho,C,
118,Zimbabwe,Benin,C,
119,Rwanda,Nigeria,C,
120,Benin,South_Africa,C,
121,Nigeria,Zimbabwe,C,
122,Rwanda,Lesotho,C,
123,Cape_Verde,Mauritius,D,
124,Libya,Angola,D,
125,Eswatini,Cameroon,D,
126,Angola,Cape_Verde,D,
127,Cameroon,Libya,D,
128,Eswatini,Mauritius,D,
129,Tanzania,Congo,E,
130,Niger,Morocco,E,
