Match Num,Home,Away
1,Paraguay,Peru
2,Colombia,Venezuela
3,Argentina,Ecuador
4,Uruguay,Chile
5,Brazil,Bolivia
6,Bolivia,Argentina
7,Ecuador,Uruguay
8,Venezuela,Paraguay
9,Chile,Colombia
10,Peru,Brazil
11,Colombia,Uruguay
12,Bolivia,Ecuador
13,Argentina,Paraguay
14,Chile,Peru
15,Brazil,Venezuela
16,Venezuela,Chile
17,Paraguay,Bolivia
18,Ecuador,Colombia
19,Uruguay,Brazil
20,Peru,Argentina
21,Bolivia,Peru
22,Venezuela,Ecuador
23,Colombia,Brazil
24,Argentina,Uruguay
25,Chile,Paraguay
26,Paraguay,Colombia
27,Uruguay,Bolivia
28,Ecuador,Chile
29,Brazil,Argentina
30,Peru,Venezuela
31,Uruguay,Paraguay
32,Peru,Colombia
33,Brazil,Ecuador
34,Bolivia,Venezuela
35,Argentina,Chile
36,Colombia,Argentina
37,Venezuela,Uruguay
38,Paraguay,Brazil
39,Chile,Bolivia
40,Ecuador,Peru
41,Peru,Uruguay
42,Venezuela,Argentina
43,Bolivia,Colombia
44,Chile,Brazil
45,Ecuador,Paraguay
46,Uruguay,Ecuador
47,Colombia,Chile
48,Brazil,Peru
49,Paraguay,Venezuela
50,Argentina,Bolivia
51,Uruguay,Colombia
52,Peru,Chile
53,Venezuela,Brazil
54,Paraguay,Argentina
55,Ecuador,Bolivia
56,Colombia,Ecuador
57,Brazil,Uruguay
58,Bolivia,Paraguay
59,Argentina,Peru
60,Chile,Venezuela
61,Uruguay,Argentina
62,Peru,Bolivia
63,Brazil,Colombia
64,Paraguay,Chile
65,Ecuador,Venezuela
66,Colombia,Paraguay
67,Venezuela,Peru
68,Bolivia,Uruguay
69,Argentina,Brazil
70,Chile,Ecuador
71,Colombia,Peru
72,Venezuela,Bolivia
73,Paraguay,Uruguay
74,Chile,Argentina
75,Ecuador,Brazil
76,Uruguay,Venezuela
77,Peru,Ecuador
78,Brazil,Paraguay
79,Bolivia,Chile
80,Argentina,Colombia
81,Uruguay,Peru
82,Colombia,Bolivia
83,Brazil,Chile
84,Paraguay,Ecuador
85,Argentina,Venezuela
86,Peru,Paraguay
87,Venezuela,Colombia
88,Bolivia,Brazil
89,Chile,Uruguay
90,Ecuador,Argentina
