Match Num,Home,Away,Group,Winner
1,Argentina,Canada,A,
2,Peru,Chile,A,
3,Ecuador,Venezuela,B,
4,Mexico,Jamaica,B,
5,United_States,Bolivia,C,
6,Uruguay,Panama,C,
7,Colombia,Paraguay,D,
8,Brazil,Costa_Rica,D,
9,Peru,Canada,A,
10,Chile,Argentina,A,
11,Ecuador,Jamaica,B,
12,Venezuela,Mexico,B,
13,Panama,United_States,C,
14,Uruguay,Bolivia,C,
15,Colombia,Costa_Rica,D,
16,Paraguay,Brazil,D,
17,Argentina,Peru,A,
18,Canada,Chile,A,
19,Mexico,Ecuador,B,
20,Jamaica,Venezuela,B,
21,United_States,Uruguay,C,
22,Bolivia,Panama,C,
23,Brazil,Colombia,D,
24,Costa_Rica,Paraguay,D,
25,,,QF,
26,,,QF,
27,,,QF,
28,,,QF,
29,,,SF,
30,,,SF,
31,,,3P,
32,,,Final,
