Match Num,Home,Away,Round,Group,Host?
1,Mexico,South_Africa,Group,A,Y
2,South_Korea,Czechia,Group,A,N
3,Mexico,South_Korea,Group,A,Y
4,South_Africa,Czechia,Group,A,N
5,Mexico,Czechia,Group,A,Y
6,South_Africa,South_Korea,Group,A,N
7,Canada,Bosnia_and_Herzegovina,Group,B,Y
8,Qatar,Switzerland,Group,B,N
9,Canada,Qatar,Group,B,Y
10,Bosnia_and_Herzegovina,Switzerland,Group,B,N
11,Canada,Switzerland,Group,B,Y
12,Bosnia_and_Herzegovina,Qatar,Group,B,N
13,Brazil,Morocco,Group,C,N
14,Haiti,Scotland,Group,C,N
15,Brazil,Haiti,Group,C,N
16,Morocco,Scotland,Group,C,N
17,Brazil,Scotland,Group,C,N
18,Morocco,Haiti,Group,C,N
19,United_States,Paraguay,Group,D,Y
20,Australia,Turkey,Group,D,N
21,United_States,Australia,Group,D,Y
22,Paraguay,Turkey,Group,D,N
23,United_States,Turkey,Group,D,Y
24,Paraguay,Australia,Group,D,N
25,Germany,Curacao,Group,E,N
26,Ivory_Coast,Ecuador,Group,E,N
27,Germany,Ivory_Coast,Group,E,N
28,Curacao,Ecuador,Group,E,N
29,Germany,Ecuador,Group,E,N
30,Curacao,Ivory_Coast,Group,E,N
31,Netherlands,Japan,Group,F,N
32,Sweden,Tunisia,Group,F,N
33,Netherlands,Sweden,Group,F,N
34,Japan,Tunisia,Group,F,N
35,Netherlands,Tunisia,Group,F,N
36,Japan,Sweden,Group,F,N
37,Belgium,Egypt,Group,G,N
38,Iran,New_Zealand,Group,G,N
39,Belgium,Iran,Group,G,N
40,Egypt,New_Zealand,Group,G,N
41,Belgium,New_Zealand,Group,G,N
42,Egypt,Iran,Group,G,N
43,Spain,Cabo_Verde,Group,H,N
44,Saudi_Arabia,Uruguay,Group,H,N
45,Spain,Saudi_Arabia,Group,H,N
46,Cabo_Verde,Uruguay,Group,H,N
47,Spain,Uruguay,Group,H,N
48,Cabo_Verde,Saudi_Arabia,Group,H,N
49,France,Senegal,Group,I,N
50,Iraq,Norway,Group,I,N
51,France,Iraq,Group,I,N
52,Senegal,Norway,Group,I,N
53,France,Norway,Group,I,N
54,Senegal,Iraq,Group,I,N
55,Argentina,Algeria,Group,J,N
56,Austria,Jordan,Group,J,N
57,Argentina,Austria,Group,J,N
58,Algeria,Jordan,Group,J,N
59,Argentina,Jordan,Group,J,N
60,Algeria,Austria,Group,J,N
61,Portugal,Congo_DR,Group,K,N
62,Uzbekistan,Colombia,Group,K,N
63,Portugal,Uzbekistan,Group,K,N
64,Congo_DR,Colombia,Group,K,N
65,Portugal,Colombia,Group,K,N
66,Congo_DR,Uzbekistan,Group,K,N
67,England,Croatia,Group,L,N
68,Ghana,Panama,Group,L,N
69,England,Ghana,Group,L,N
70,Croatia,Panama,Group,L,N
71,England,Panama,Group,L,N
72,Croatia,Ghana,Group,L,N
73,2A,2B,R32,,N
74,1E,3A/B/C/D/F,R32,,N
75,1F,2C,R32,,N
76,1C,2F,R32,,N
77,1I,3C/D/F/G/H,R32,,N
78,2E,2I,R32,,N
79,1A,3C/E/F/H/I,R32,,N
80,1L,3E/H/I/J/K,R32,,N
81,1D,3B/E/F/I/J,R32,,N
82,1G,3A/E/H/I/J,R32,,N
83,2D,2G,R32,,N
84,1B,3D/G/J/K/L,R32,,N
85,1J,3A/B/G/K/L,R32,,N
86,2H,2K,R32,,N
87,1K,3B/C/D/G/H,R32,,N
88,1H,2L,R32,,N
89,W74,W77,R16,,N
90,W75,W78,R16,,N
91,W79,W80,R16,,N
92,W81,W82,R16,,N
93,W73,W76,R16,,N
94,W83,W86,R16,,N
95,W84,W87,R16,,N
96,W85,W88,R16,,N
97,W89,W90,QF,,N
98,W91,W92,QF,,N
99,W93,W94,QF,,N
100,W95,W96,QF,,N
101,W97,W98,SF,,N
102,W99,W100,SF,,N
103,L101,L102,3P,,N
104,W101,W102,Final,,N
