"home, away, group"
"Senegal, Netherlands, A"
"England, Iran, B"
"Qatar, Ecuador, A"
"United_States, Wales, B"
"Argentina, Saudi_Arabia, C"
"Denmark, Tunisia, D"
"Mexico, Poland, C"
"France, Australia, C"
"Morocco, Croatia, F"
"Germany, Japan, E"
"Spain, Costa_Rica, E"
"Belgium, Canada, F"
"Switzerland, Cameroon, G"
"Uruguay, South_Korea, H"
"Portugal, Ghana, H"
"Brazil, Serbia, G"
"Wales, Iran, B"
"Qatar, Senegal, A"
"Netherlands, Ecuador, A"
"England, United_States, B"
"Tunisia, Australia, D"
"Poland, Saudi_Arabia, C"
"France, Denmark, D"
"Argentina, Mexico, C"
"Japan, Costa_Rica, E"
"Belgium, Morocco, F"
"Croatia, Canada, F"
"Spain, Germany, E"
"Cameroon, Serbia, G"
"South_Korea, Ghana, H"
"Brazil, Switzerland, G"
"Portugal, Uruguay, H"
"Ecuador, Senegal, A"
"Netherlands, Qatar, A"
"Iran, United_States, B"
"Wales, England, B"
"Tunisia, France, D"
"Australia, Denmark, D"
"Poland, Argentina, C"
"Saudi_Arabia, Mexico, C"
"Canada, Morocco, F"
"Croatia, Belgium, F"
"Costa_Rica, Germany, E"
"Japan, Spain, E"
"Ghana, Uruguay, H"
"South_Korea, Portugal, H"
"Cameroon, Brazil, G"
"Serbia, Switzerland, G"
